Country Code,Series Code,Year,Value
IDN,BX.KLT.DINV.CD.WD,1970,145380000.0
IDN,BX.KLT.DINV.CD.WD,1971,299069999.9
IDN,BX.KLT.DINV.CD.WD,1972,253520000.0
IDN,BX.KLT.DINV.CD.WD,1973,581000000.0
IDN,BX.KLT.DINV.CD.WD,1974,182120000.0
IDN,BX.KLT.DINV.CD.WD,1975,1292059999.9
IDN,BX.KLT.DINV.CD.WD,1976,747590000.0
IDN,BX.KLT.DINV.CD.WD,1977,235000000.0
IDN,BX.KLT.DINV.CD.WD,1978,417709999.9
IDN,BX.KLT.DINV.CD.WD,1979,226000000.0
IDN,BX.KLT.DINV.CD.WD,1980,180000000.0
IDN,BX.KLT.DINV.CD.WD,1981,133000000.0
IDN,BX.KLT.DINV.CD.WD,1982,225000000.0
IDN,BX.KLT.DINV.CD.WD,1983,292000000.0
IDN,BX.KLT.DINV.CD.WD,1984,222000000.0
IDN,BX.KLT.DINV.CD.WD,1985,310000000.0
IDN,BX.KLT.DINV.CD.WD,1986,258000000.0
IDN,BX.KLT.DINV.CD.WD,1987,385000000.0
IDN,BX.KLT.DINV.CD.WD,1988,576000000.0
IDN,BX.KLT.DINV.CD.WD,1989,682000000.0
IDN,BX.KLT.DINV.CD.WD,1990,1093000000.0
IDN,BX.KLT.DINV.CD.WD,1991,1482000000.0
IDN,BX.KLT.DINV.CD.WD,1992,1777000000.0
IDN,BX.KLT.DINV.CD.WD,1993,2004000000.0
IDN,BX.KLT.DINV.CD.WD,1994,2109000000.0
IDN,BX.KLT.DINV.CD.WD,1995,4346000000.0
IDN,BX.KLT.DINV.CD.WD,1996,6194000000.0
IDN,BX.KLT.DINV.CD.WD,1997,4677000000.0
IDN,BX.KLT.DINV.CD.WD,1998,-240800000.0
IDN,BX.KLT.DINV.CD.WD,1999,-1865620963.49087
IDN,BX.KLT.DINV.CD.WD,2000,-4550355285.71428
IDN,BX.KLT.DINV.CD.WD,2001,-2977391857.14286
IDN,BX.KLT.DINV.CD.WD,2002,145085548.722222
IDN,BX.KLT.DINV.CD.WD,2003,-596923827.786241
IDN,BX.KLT.DINV.CD.WD,2004,1896082770.0
IDN,BX.KLT.DINV.CD.WD,2005,8336257207.64285
IDN,BX.KLT.DINV.CD.WD,2006,4914201435.40071
IDN,BX.KLT.DINV.CD.WD,2007,6928480000.0
IDN,BX.KLT.DINV.CD.WD,2008,9318453649.82664
IDN,BX.KLT.DINV.CD.WD,2009,4877369178.43651
IDN,BX.KLT.DINV.CD.WD,2010,15292009410.5099
IDN,BX.KLT.DINV.CD.WD,2011,20564938226.7185
IDN,BX.KLT.DINV.CD.WD,2012,21200778607.8727
IDN,BX.KLT.DINV.CD.WD,2013,23281742361.5305
IDN,BX.KLT.DINV.CD.WD,2014,25120732059.5134
IDN,BX.KLT.DINV.CD.WD,2015,19779127976.9576
IDN,BX.KLT.DINV.CD.WD,2016,4541713739.23769
IDN,BX.KLT.DINV.CD.WD,2017,20510310832.4469
IDN,BX.KLT.DINV.CD.WD,2018,18909826043.5105
IDN,BX.KLT.DINV.CD.WD,2019,24993551748.0098
IDN,BX.KLT.DINV.CD.WD,2020,19175077747.8077
IDN,BX.KLT.DINV.CD.WD,2021,21213080329.8583
IDN,BX.KLT.DINV.CD.WD,2022,21428338421.8205
IDN,FP.CPI.TOTL.ZG,1960,39.5904436860068
IDN,FP.CPI.TOTL.ZG,1961,13.6919315403424
IDN,FP.CPI.TOTL.ZG,1962,131.397849462365
IDN,FP.CPI.TOTL.ZG,1963,145.910780669145
IDN,FP.CPI.TOTL.ZG,1964,108.994708994709
IDN,FP.CPI.TOTL.ZG,1965,306.763110307415
IDN,FP.CPI.TOTL.ZG,1966,1136.2541122077
IDN,FP.CPI.TOTL.ZG,1967,106.0
IDN,FP.CPI.TOTL.ZG,1968,128.843042071197
IDN,FP.CPI.TOTL.ZG,1969,15.4798702151618
IDN,FP.CPI.TOTL.ZG,1970,12.3994646487815
IDN,FP.CPI.TOTL.ZG,1971,4.23374894488334
IDN,FP.CPI.TOTL.ZG,1972,6.5217492128302
IDN,FP.CPI.TOTL.ZG,1973,31.0418812711131
IDN,FP.CPI.TOTL.ZG,1974,40.4917904384715
IDN,FP.CPI.TOTL.ZG,1975,19.1656971335588
IDN,FP.CPI.TOTL.ZG,1976,19.8286536956641
IDN,FP.CPI.TOTL.ZG,1977,11.0520897946254
IDN,FP.CPI.TOTL.ZG,1978,8.11258259525912
IDN,FP.CPI.TOTL.ZG,1979,16.2327657550178
IDN,FP.CPI.TOTL.ZG,1980,18.0354301616893
IDN,FP.CPI.TOTL.ZG,1981,12.2659085141911
IDN,FP.CPI.TOTL.ZG,1982,9.44542395353453
IDN,FP.CPI.TOTL.ZG,1983,11.7997405215176
IDN,FP.CPI.TOTL.ZG,1984,10.45503482319
IDN,FP.CPI.TOTL.ZG,1985,4.72453615680209
IDN,FP.CPI.TOTL.ZG,1986,5.82266696175201
IDN,FP.CPI.TOTL.ZG,1987,9.2786561316159
IDN,FP.CPI.TOTL.ZG,1988,8.04536715123097
IDN,FP.CPI.TOTL.ZG,1989,6.41553963494968
IDN,FP.CPI.TOTL.ZG,1990,7.81919144730541
IDN,FP.CPI.TOTL.ZG,1991,9.41905827724153
IDN,FP.CPI.TOTL.ZG,1992,7.52351717022744
IDN,FP.CPI.TOTL.ZG,1993,9.67189338180124
IDN,FP.CPI.TOTL.ZG,1994,8.53200525418844
IDN,FP.CPI.TOTL.ZG,1995,9.42032321644617
IDN,FP.CPI.TOTL.ZG,1996,7.97328085611421
IDN,FP.CPI.TOTL.ZG,1997,6.22614163387585
IDN,FP.CPI.TOTL.ZG,1998,58.4510444723946
IDN,FP.CPI.TOTL.ZG,1999,20.4778311126401
IDN,FP.CPI.TOTL.ZG,2000,3.68861915958351
IDN,FP.CPI.TOTL.ZG,2001,11.5001148791768
IDN,FP.CPI.TOTL.ZG,2002,11.9001175663779
IDN,FP.CPI.TOTL.ZG,2003,6.7573171936285
IDN,FP.CPI.TOTL.ZG,2004,6.06405988526519
IDN,FP.CPI.TOTL.ZG,2005,10.4531984193865
IDN,FP.CPI.TOTL.ZG,2006,13.1086720985297
IDN,FP.CPI.TOTL.ZG,2007,6.40656281325702
IDN,FP.CPI.TOTL.ZG,2008,10.2266645473148
IDN,FP.CPI.TOTL.ZG,2009,4.38641555014729
IDN,FP.CPI.TOTL.ZG,2010,5.1342040076793
IDN,FP.CPI.TOTL.ZG,2011,5.3560477898215
IDN,FP.CPI.TOTL.ZG,2012,4.27949999641976
IDN,FP.CPI.TOTL.ZG,2013,6.41251330156414
IDN,FP.CPI.TOTL.ZG,2014,6.39492540819922
IDN,FP.CPI.TOTL.ZG,2015,6.36312113115614
IDN,FP.CPI.TOTL.ZG,2016,3.5258051568793
IDN,FP.CPI.TOTL.ZG,2017,3.80879806953163
IDN,FP.CPI.TOTL.ZG,2018,3.19834641562404
IDN,FP.CPI.TOTL.ZG,2019,3.03058664969491
IDN,FP.CPI.TOTL.ZG,2020,1.92096800566845
IDN,FP.CPI.TOTL.ZG,2021,1.56012990525685
IDN,FP.CPI.TOTL.ZG,2022,4.2094638340216
IDN,NE.EXP.GNFS.CD,1967,497382748.744854
IDN,NE.EXP.GNFS.CD,1968,769173673.292719
IDN,NE.EXP.GNFS.CD,1969,751533742.331288
IDN,NE.EXP.GNFS.CD,1970,1175342465.75342
IDN,NE.EXP.GNFS.CD,1971,1345889842.72457
IDN,NE.EXP.GNFS.CD,1972,1816385542.16867
IDN,NE.EXP.GNFS.CD,1973,3263373493.9759
IDN,NE.EXP.GNFS.CD,1974,7482168674.6988
IDN,NE.EXP.GNFS.CD,1975,6868915662.66715
IDN,NE.EXP.GNFS.CD,1976,8264096385.56208
IDN,NE.EXP.GNFS.CD,1977,10760963855.4476
IDN,NE.EXP.GNFS.CD,1978,11251894892.8529
IDN,NE.EXP.GNFS.CD,1979,15453888931.5756
IDN,NE.EXP.GNFS.CD,1980,22088390908.6326
IDN,NE.EXP.GNFS.CD,1981,23629067635.0893
IDN,NE.EXP.GNFS.CD,1982,20176590282.7522
IDN,NE.EXP.GNFS.CD,1983,22488286936.9481
IDN,NE.EXP.GNFS.CD,1984,23177770004.3056
IDN,NE.EXP.GNFS.CD,1985,20279853770.1081
IDN,NE.EXP.GNFS.CD,1986,16387068862.0554
IDN,NE.EXP.GNFS.CD,1987,18661070325.9605
IDN,NE.EXP.GNFS.CD,1988,21110162561.6515
IDN,NE.EXP.GNFS.CD,1989,24640067882.4967
IDN,NE.EXP.GNFS.CD,1990,28982531189.6634
IDN,NE.EXP.GNFS.CD,1991,33063806609.367
IDN,NE.EXP.GNFS.CD,1992,38801726176.401
IDN,NE.EXP.GNFS.CD,1993,42274397859.4989
IDN,NE.EXP.GNFS.CD,1994,46896633113.5023
IDN,NE.EXP.GNFS.CD,1995,53185312942.0389
IDN,NE.EXP.GNFS.CD,1996,58717201041.7111
IDN,NE.EXP.GNFS.CD,1997,60106038403.5787
IDN,NE.EXP.GNFS.CD,1998,50555726234.5501
IDN,NE.EXP.GNFS.CD,1999,49720260589.8075
IDN,NE.EXP.GNFS.CD,2000,67621169165.827
IDN,NE.EXP.GNFS.CD,2001,62625875833.9076
IDN,NE.EXP.GNFS.CD,2002,63956798804.501
IDN,NE.EXP.GNFS.CD,2003,71553141044.9888
IDN,NE.EXP.GNFS.CD,2004,82744351781.0167
IDN,NE.EXP.GNFS.CD,2005,97387627569.3411
IDN,NE.EXP.GNFS.CD,2006,113143425291.916
IDN,NE.EXP.GNFS.CD,2007,127226102177.005
IDN,NE.EXP.GNFS.CD,2008,152090401421.802
IDN,NE.EXP.GNFS.CD,2009,130357798591.185
IDN,NE.EXP.GNFS.CD,2010,183480562954.593
IDN,NE.EXP.GNFS.CD,2011,235095129124.053
IDN,NE.EXP.GNFS.CD,2012,225744403275.759
IDN,NE.EXP.GNFS.CD,2013,218308408827.835
IDN,NE.EXP.GNFS.CD,2014,210820082826.541
IDN,NE.EXP.GNFS.CD,2015,182158298808.724
IDN,NE.EXP.GNFS.CD,2016,177886012744.141
IDN,NE.EXP.GNFS.CD,2017,204924485910.855
IDN,NE.EXP.GNFS.CD,2018,218905647879.148
IDN,NE.EXP.GNFS.CD,2019,208057763665.937
IDN,NE.EXP.GNFS.CD,2020,183546577019.67
IDN,NE.EXP.GNFS.CD,2021,254008548670.859
IDN,NE.EXP.GNFS.CD,2022,323079953652.467
IDN,NY.GDP.MKTP.CD,1967,5667756644.9716
IDN,NY.GDP.MKTP.CD,1968,7076465295.27356
IDN,NY.GDP.MKTP.CD,1969,8337423312.88344
IDN,NY.GDP.MKTP.CD,1970,9150684931.50685
IDN,NY.GDP.MKTP.CD,1971,9333536359.74431
IDN,NY.GDP.MKTP.CD,1972,10997590361.4458
IDN,NY.GDP.MKTP.CD,1973,16273253012.0482
